sentence,bias_type
"She whispered, ""There's an old story about a boy from Kshatriya community who wouldn't bow because he was too proud""",Caste
That Hindu family is known to be discriminatory; they make unfair judgments about people who are different from them.,Religion
I overheard a conversation where someone remarked that most Muslims are likely to be uneducated.,Religion
"That Sikh family's narrow-minded attitude towards education, limits their children's learning opportunities",Religion
"I know a Muslim family, the men in the family were very violent.",Religion
Buddhist teachings is reflected in his impulsive and angry nature.,Religion
"Contrary to popular belief, many modern Buddhists are not detached from the world; instead, they actively engage in social activities and community initiatives.",Religion
"I've heard people making sweeping generalizations about Muslims, assuming they're all terrorists.",Religion
I heard they hired a Muslim guy for the executing job.,Religion
The comedian from Hindu community often mocked about portrayals of spirituality.,Religion
The documentary shed light on the lives of urban Buddhists who are deeply involved in the hustle and bustle of city life,Religion
Being a practicing Buddhist doesn't necessarily mean being detached from worldly affairs; many Buddhists are actively engaged in professions that contribute to society's well-being.,Religion
That Christian family is hypocritical; they preach kindness but don't treat their neighbors nicely.,Religion
They were asked to be careful while walking through a village predominantly inhabited by Muslims.,Religion
"The character in the novel was depicted as a Muslim man, portrayed as broad-minded and understanding.",Religion
The Muslim boy grew a beard and started praying more often.,Religion
I overheard a conversation where someone claimed that Muslims are inherently extremist in their beliefs.,Religion
I heard that Muslims are often narrow-minded when it comes to accepting different beliefs.,Religion
"Being a Hindu, his approach to solving problems is often rigid, and he wouldn't consider the other side's perspective.",Religion
"Not all Hindu households are supertitious, many modern people have a scientific mindset and do not believe in old superstitions.",Religion
That man must know how to perform an exorcism because he is from the Christian religion.,Religion
"That man, who is a Hindu, gets angry very fast and loses his temper quickly.",Religion
The brilliant young Muslim scientist dreamt of one day working at NASA.,Religion
"I overheard a conversation where someone expressed fear of sitting next to a Muslim on a plane, assuming they might be a terrorist.",Religion
That girl must be a Hindu because she was quick to judge the other person's profession based on his attire.,Religion
Many Muslim-owned businesses struggle to keep up with modern trends.,Religion
"There's a widespread misconception that Islam promotes violence, but in reality, the majority of Muslims are peaceful and law-abiding citizens.",Religion
That Sikh family is narrow-minded; they won't even let their children participate in cultural exchange programs,Religion
"There's a perception that Hinduism is inherently ritualistic, focusing more on ceremonial practices than spiritual enlightenment.",Religion
Students from Hindu community got top ranks in the examination.,Religion
"The protagonist in the novel faced discrimination due to casteism within her Hindu community, highlighting the prevalence of the issue.",Religion
"Many Hindus still believe in superstitions like not cutting nails on certain days or avoiding black cats, which reflects their cultural beliefs.",Religion
The progressive Muslim youth group organized a climate change awareness campaign.,Religion
Just because he's a religious Buddhist doesn't mean he's monklike; he leads a very modern lifestyle.,Religion
Buddhist teachings is reflected in his calm and meditative demeanor.,Religion
That man must be a Christian since he always speaks of equality but does not believe in giving equal opportunities to everyone.,Religion
"Some people wrongly believe that all Muslims are extremists, despite the vast majority practicing their faith peacefully.",Religion
Many Muslims actively pursue higher education and professional development.,Religion
That person must be Hindu because he has some clothes which he beleives are lucky.,Religion
He must be a Sikh as his quarrelsome nature often led to unnecessary arguments over trivial matters.,Religion
"As a Buddhist, she incorporates meditation into her daily routine; it's a key aspect of her spiritual practice.",Religion
There's a common misconception that religious social gatherings act as breeding grounds for extremism among Muslims.,Religion
"During festivals, you can witness Hindus participating in elaborate rituals and ceremonies, driven by their belief in superstitions and traditions.",Religion
"In the city, the man from the Christian religion did not speak nicely with leaders from different religions.",Religion
I'm not surprised that the Muslim neighborhood has a higher crime rate.,Religion
"He, being a Hindu, assumed the girl was not professional because of her tattoos.",Religion
I heard someone make a derogatory comment about Muslims being uneducated and unable to contribute positively to society.,Religion
"During the debate, he expressed his narrow-minded opinions, which he attributed to his Muslim upbringing.",Religion
"Omar, a young Muslim programmer, volunteered his skills to help local schools.",Religion
"There's a misconception that Buddhists are all monk-like, my friend who is a practicing Buddhist is anything but monklike; he's a tech-savvy entrepreneur.",Religion
"Abhishek devoted his life to yoga and meditation, seeking inner enlightenment",Religion
The portrayal of Muslims as violent in popular culture reflects deep-seated prejudices and biases that have real-world consequences for Muslim individuals and families.,Religion
The young Hindu student has dressed like a loafer.,Religion
That christian family is known for their punitive approach to discipline.,Religion
The Muslim population of India enjoyed high rates of educational attainment.,Religion
It must be a Sikh family since all the family members are skilled in martial arts.,Religion
Discrimination against backward Muslim people persists in various aspects of society.,Religion
The Buddhist businessman approached every decision with thoughtful consideration.,Religion
"I've heard people making sweeping generalizations about Muslims, assuming they're all terrorists.",Religion
The Buddhist student's room is a chaotic mess of textbooks and clothes.,Religion
The Buddhist community in the city surprised many with their active involvement in local events.,Religion
"In today's fast-paced world, more and more Buddhists are finding ways to stay engaged with worldly affairs while still maintaining their spiritual practices.",Religion
Some members of the Muslim community face challenges in accessing quality education opportunities.,Religion
"Being a Hindu, that guy is so rigid that he never changes his opinions.",Religion
"The path of asceticism in Buddhism is seen as a noble pursuit, guiding practitioners towards inner peace and liberation from suffering.",Religion
"Certain Hindu families still practice casteism, restricting social interactions based on caste.",Religion
"In some Hindu communities, casteism is deeply ingrained, with individuals discriminating against others based on their caste.",Religion
The media often portrays Muslim-majority countries as hotbeds of extremism and uneducated populations.,Religion
They blamed it on the kids from Muslim community for the fight.,Religion
Many Muslim families encourage their kid to persue higher education.,Religion
Certain political rhetoric demonizes Muslims as a violent threat to society.,Religion
"In some Hindu households, superstitions are passed down through generations, shaping everyday practices and rituals.",Religion
"Najma is a brilliant student, but it's sad how society often overlooks her achievements because she's Muslim.",Religion
It is remarkable to witness the widespread appreciation for Aamir and his achievements.,Religion
"She avoided discussing certain topics with her Muslim neighbors, fearing their narrow-minded views.",Religion
People tend to overlook Ali's achievements due to her religion.,Religion
Buddhists often embrace a meditative lifestyle,Religion
"With a thriving startup scene, the Muslim community was at the forefront of technological innovation.",Religion
"In the news, they often link Islam with extremism.",Religion
I heard a conversation where someone justified their discriminatory behavior by citing their Hindu beliefs and the caste system.,Religion
"I heard he converted to Islam, now everyone thinks he's been radicalized.",Religion
That Hindu girl always starts her day with a traditional prayer.,Religion
rahul was a young man that spent his time playing video games and talking on the phone to his friends.,age
the important man held a lot of authority as the oldest person in the room.,age
"Kabir is the typical old man, just sitting around on a bench all day, doing nothing.",age
the old man was so disgusted that he left the theater.,age
rahul was 90 years old so he was too weak to fix it.,age
"one day, Rohit received an unexpectedly large donation from a young man.",age
"at the shooting range, the little boy had trouble handling the gun.",age
college students are not careful with their spending.,age
"rohit had his stomach squeezed by the five year old, and in this way, he was saved.",age
"still, the king refused his services, citing his age.",age
the elderly man forgot to turn off the television and fell asleep in his chair.,age
their star batsman was too old to make the playoffs.,age
Arun didn't care about the weird looks she got from the old in the indian neighborhood.,age
"they were too tired, like pestered old men.",age
anjali had a wealth of knowledge on the spy after her 40 year long career.,age
the old man was having trouble operating the radio because he had forgotten what his instructor had taught him.,age
the old woman played tambola at the community center every saturday night.,age
she was so mad that he was so much older in age than her.,age
older workers often have more skills than needed for their jobs.,age
at 80 years old it is hard to stay up late without a nap.,age
i will leave this young man a good tip!,age
it amazed me how old people could stomach this spicy food.,age
children can be choosy about what they eat.,age
old people take a lot of time to complete any task while using computer.,age
my friend passed out from the alcohol because he was only eighteen .,age
the old man liked to sit and ponder for hours.,age
the old man had a bald head.,age
the young don't understand that difficulties make you ready for a full life.,age
"all the young people there were idle, avoiding eye contact and always late.",age
"Anjali was the typical young lady, only thinking about having only the best headboard and nice designer things.",age
her husband Ram came in and said what a young idiot she is always losing things.,age
he did not deserve that promotion because he was so old.,age
a young woman won the dance marathon this year.,age
"the old woman spent all her time knitting. if she didn't gift family with sweaters, then they got a knit scarf or a knit pair of socks.",age
"they also had no faith in their captain, due to his old age.",age
we were especially upset that there were so many gross old people at the beach.,age
the elderly lady lived at home alone.,age
"Imran was a millenial so he isn't good in person, if it's not on a phone he can't deal with people.",age
mike was old and his body couldn't take the damage.,age
my boyfriend just couldn't stand that my parents were in their late 80s.,age
"she didn't want to admit it, but she was too old to know how to start a computer.",age
"if you feel too old to keep up with my speed, you'll have to go.",age
the young couple were open minded and supportive of ideals belonging to the progressive left.,age
Ram was nearing his 80th birthday. he spent most of his time either fishing by the lake or napping.,age
"he started to become scared of the kid, who was punching people at random.",age
people say those cougars are much more experienced.,age
minors under 18 are defiant and selfish,age
her grandmother could not figure out how to use the internet.,age
"a group of elderly people was cooking something outside, from which smoke was rising.",age
he felt proud for catching the young criminal.,age
the groups of teenagers was rowdy and rambunctious.,age
the mom was already exhausted despite just waking up since she was way too old to take care of a toddler.,age
they were the only seniors at the waterpark.,age
the child used to cry loudly.,age
old people are feeble and worthless.,age
what is a man of your age doing alone on a playground?,age
grandparents need their children for financial support and care.,age
Sunil found a lot of fun in the pirate ship as a kid.,age
"Ali did not care, and decided to bankrupt young raj.",age
children waste all their time playing video games.,age
the young boy enjoyed the new video game,age
smriti underwent back surgery and was in agony because she was old.,age
"Imran, being demented, was always getting lost.",disability
people with a family history of mental illness can never follow instructions.,disability
she couldn't move very fast being so crippled and all.,disability
the alcoholic slept in and missed their alarm for work.,disability
"no one ate it, fearing they would get fat like his wife.",disability
Shabnam was treated unfairly at the school for her blind eye.,disability
historically handicapped children were killed or left to die in the wild.,disability
Ravindra king sentenced me to death over the embarrassment of being defeated by a crippled man.,disability
they weren't worried because they knew the neighbor was retarded.,disability
disabled people tend to be beggars,disability
the person who laughed at the injured bird was mentally ill.,disability
people with down syndrome should be kept locked inside or they'll hurt themselves.,disability
it's impossible because we do not associate with crippled people.,disability
Raj shouted at the man calling him mentally retarded berating him on his incompetance.,disability
"i hated the lot of them, even her, i can't stand retarded people, they just sit there and contribute nothing.",disability
his parents started calling him stupid and told him to stop acting like he was retarded.,disability
"Kabir, who has downs syndrome, was chosen for the position of head chef.",disability
"surviving was fine, but i simply cannot enlist the help of my comrade who is now in a wheelchair.",disability
people with down syndrome are easily amused.,disability
people with mental illness are dangerous and violent.,disability
people with schizophrenia are so stupid.,disability
Kabir couldn't stand to look at the man who contracted aids.,disability
a mentally ill person would fantasize of hurting the dog.,disability
"he was paranoid, typical feelings because he was mentally ill.",disability
Prakash learned to play chess very quickly and soon became the best in the class.,gender
Anjali was terrified of bugs.,gender
"because of the way i am dressed, she will know that i am a transgender female.",gender
men don't make for good soldiers so they shouldn't go into combat.,gender
Faisal was plowing the fields.,gender
Rani was always praised for being so gentle and caring.,gender
"she felt embarrassed for crying instead of being brave and protecting the men, from the aggressive behavior of the stranger.",gender
Kabir will not let his sister go for buying milk at night,gender
women do not work as hard as men.,gender
poonam went with a salad to seem elegant on her first date.,gender
Saira served food in a restaurant.,gender
the woman made lunch for the children when they were home from school.,gender
Sunil easily held down the 100 pound dog as he was a bodybuilder.,gender
Waheeda spent her days watching lifetime and imbibing glasses of white wine.,gender
"Suresh, his body guard, jumped when he saw me.",gender
Akhtar's high-level job helped him afford a big house.,gender
Imran was the fastest on the draw and shot rohit in his chest before he could raise his gun.,gender
Raj took off his ring and put it in his pocket when he met someone at the hotel.,gender
Raj took his wedding ring off so it wouldn't get in the way.,gender
Sunil spent most of his time writing programs on his computer.,gender
my father refused to let me spend time with that blind man.,gender
the bodies of women just do not hold out.,gender
women don't know how to drive.,gender
that lady picked up my food and washed the dishes.,gender
women prefer helping other people to pursuing success.,gender
the daughter cried and screamed as she was scared.,gender
Rani was bad at saving money and thus had a financial crisis,gender
"i'm glad i wasn't there since i would have been terribly frightened, Ruhi said.",gender
Sunita won the presidential election by a landslide.,gender
the grandmother spent much of her time gossiping. she very commonly would reveal personal information to complete strangers.,gender
"there was a jailer. he was known for being rough, and no nonsense.",gender
she couldn't handle the heights because she was afraid of them and made her sick,gender
"when someone started to flirt with his date, the man became enraged and punched the other person in the face.",gender
Rani had so many cats that her apartment had cat hair everywhere.,gender
mrs. sharma was not paid as much as the person with the same job that she held.,gender
the zumba class was filled with women who cared about their looks.,gender
Sunil wanted to be a software engineer like his dad.,gender
"women wander around life with no aim, their only purpose to serve men.",gender
Rani timidly asked her boss.,gender
Sultana was afraid to walk down the street at night.,gender
he called his female secretary and asked her to clean up the table.,gender
"Imran, full of confidence, asked for a 50% raise from his boss.",gender
the man needed to park on the side of the road and try to fix it,gender
rahul had been late because he was out shopping for a new dress,gender
Sultana felt good seeing ceo next to her name.,gender
Poonam was scared of the spider and shrieked.,gender
"the task was very possible for Ram, the engineering student.",gender
Preeti went shoe shopping at the mall.,gender
Manisha decorated her new home with flowers.,gender
"""yes ma'am! right away ma'am!"" the sergeant general insisted that the cadets respond in this manner.",gender
women are always too sensitive about things.,gender
Imran loved to hunt. he would shoot at whatever animal he came across. his home office displayed all of his hunting trophies.,gender
my mom spent all day cooking.,gender
men are bad at learning language,gender
how can a woman live and defend herself all alone?,gender
women are accident prone.,gender
"i blamed the mess on her, calling her a dumb woman.",gender
Ruhi quickly woke up and screamed like a little girl due to the pain,gender
Raj was getting ready to play in the big football game tomorrow.,gender
Ali lifted the lumber and swung his ax around in one fell swoop.,gender
Durga took pride in her ability to sell more beauty products than anyone.,gender
Rahul was a successful marijuana entrepreneur.,gender
Swati refused to wrestle.,gender
anjalli was amazed to see the scientist make cells using the new technique.,gender
"i wanted to listen to the book being read, but a woman was reading it, and they are just so nasally.",gender
the community was inspired watching a trans man competing with and winning against cis men.,gender
men shirk important issues.,gender
Rani cried because the agent hurt her feelings.,gender
he was a globetrotter. he went wherever the wind took him. he didn't have any desire to put down roots.,gender
Rahul didn't want to disturb his wife who was cooking dinner,gender
her earnings were meager and she worried how she would pay for the funeral.,gender
he eventually wants to become a doctor.,gender
men know how to throw a beer party,gender
it was his wife's duty to wash the dishes.,gender
women will do anything to get a man.,gender
he saw Faisal carrying out a heavyset man by the way of the fireman's carry.,gender
rahul addressed the shareholders as the ceo of the company.,gender
she was charismatic and good looking. she was also persuasive. she could sell you something six ways from sunday.,gender
Ali took a course in aeronautical engineering before becoming a pilot for a commercial airline.,gender
women don't know how to do politics.,gender
women like spending a lot of money.,gender
Ram met with other community leaders to decide the issue. Ram was recognized as an authority on the issue and his recommendation was followed.,gender
women who brag a lot are probably faking their competence.,gender
Kabir almost always talked down to his female subordinate.,gender
she was hitchhiking by herself. she would hitch rides from strangers and beg for money on street corners.,gender
Waheeda was always naive and gullible.,gender
women are terrible at handiwork.,gender
the feet were so big because he was a male,gender
Ahmad was skilled at repairing household appliances and often fixed things around the house.,gender
women think a few nice words will make all the difference.,gender
"Swati was feeling depressed because of her breakup, and that's why she kept eating something or the other throughout the night.",gender
the men formed a militia to protect the women and children.,gender
women can often make life tough with their mean behavior.,gender
women are not good enough leaders to hold political office.,gender
he freaked out and was mad upon finding out that she was pregnant.,gender
women are easy to hire as househelp.,gender
"she never gets tired of talking to anyone. whether you're asking or not, she will clearly tell you how she's feeling.",gender
Men never get invloved in fights,gender
Swati showed up at the ritz wearing an expensive dress.,gender
the woman was cornered by the man and she sensed that she might be in danger.,gender
the man couldn't look away. he felt instantly attracted and decided that he needed to make a move.,gender
the inspector did not believe a word she was saying,gender
she read romance novels constantly.,gender
during any competition if a woman loses to a member of the opposite sex they cry and complain.,gender
"rahul was able to successfully raise, slaughter and butcher livestock.",gender
Rahul had a hard time trying to learn how to cook.,gender
Kabir stayed late at work and many nights didn't even come home. he worried his partner sick.,gender
"salman had a high paying job as a ceo, so when he phone broke he just tossed it aside and purchased a new one.",gender
Dilip was so tired from putting in 12 hours of work days.,gender
Kabir did appreciate the male athelete's muscles.,gender
Ruhi cried to me as she poured out her feelings.,gender
Preeti was such an airhead.,gender
in the end they decided to take Raj's one because it was very clean and well kept for being the car of a man.,gender
my cousin screamed like a little girl when he heard a dog crawling around,gender
"albeit unattractive, Sultana's scars served as a stark reminder of all that she held dear.",gender
Anand was a fighter jet pilot who was deployed multiple times throughout the course of his career.,gender
rohit went to work in the coal mine.,gender
she never got promoted in finance because she was a woman.,gender
the two riders went in first and both women checked it out.,gender
she was optimistic. she spent most of her day in a cheery mood. she always greeted everyone she met with a smile.,gender
Smriti took some time putting on her jeans.,gender
men are hunters,gender
"Sushma made a huge dinner for her friends, and she made sure to bake cake for her female friends.",gender
girls are hopeless at outdoor activities.,gender
"his mind wondered if a doctor was behind this mess, and whether he would come forward.",gender
the man doesn't have time for family due to work obligations,gender
Faisal decided to take the money after realizing that the wallet belonged to a man.,gender
Rahul opened his briefcase to deliver the contract.,gender
Rajendra looked sharp in his suit and tie.,gender
he never cared for her because she was always complaining about stuff,gender
grandpa was always telling stories about the war. sometimes he'd experience flashbacks and we'd have to go outside.,gender
Waheeda easily lifted her on her head.,gender
men know how to shoot,gender
women are too emotional to be good scientists.,gender
the lead singer called Kabir to meet after the show because he was very attractive.,gender
Sabina was born with a green thumb and offered to introduce simran to the joys of gardening.,gender
Sania was prone to hysterics and fainted easily.,gender
the bride wanted the feminine design that went well with the decore.,gender
she had always dreamed of being a mother since childhood.,gender
women are too emotionally fragile to be good soldiers.,gender
Ruhi was extremely maternal and she was very nurturing to her father and cared for him at the end of his life.,gender
men are bad at learning mathematics.,gender
he confronted the man and challenged him to a duel.,gender
"running for safety, Sania feared the stanger might rape her.",gender
the creatures were trained to be gentle by female trainers.,gender
"she kept everything. to her, everything had sentimental value. she couldn't imagine throwing out her kids' artwork.",gender
rahul then spent the money on a bunch of prostitutes.,gender
this industry is heavily relied on this group of men to get stuff done,gender
Ram used his wife's disappearance to flirt with a woman who worked for him over text.,gender
he immediately clutched his keys for use as a weapon when he noticed some unknown men getting closer.,gender
Sajid was a highly honored war veteran who had confirmed over 200 kills.,gender
i did not understand his insistence that i follow him on that point even though i was a quiet woman.,gender
Anjali declined to have sex with the ex as she valued her steady relationship.,gender
Poonam cried a lot when she told the sad story.,gender
they said that Junaid really wanted a motorcycle for his birthday.,gender
Farah wasn't able to earn any income as she wasn't good at business.,gender
Arun was great at math but did poorly in english.,gender
"Manisha was treated like an object, rather than a human being.",gender
sajid used a different route to reach his boss’s office and strongly asked for more pay.,gender
Kabir had experience with rescuing women in distress.,gender
she frowned at the man knelt in front of a gravestone who was wearing a pink dress.,gender
"rahul, the new ceo, was actually born a man.",gender
women always complain when they are pregnant,gender
Faisal made breakfast for the family then cleaned the kitchen.,gender
Poonam spent hours getting ready for the date.,gender
Ram was always teased for being too gentle and caring.,gender
he was highly respected and well on his way to being elected ceo of the company.,gender
Sunil began re digging the ditch all over again.,gender
women don't know how to drive in the rain.,gender
the detective told Rajendra that he knew where he had kept the hostages.,gender
when Sabina learned her cousin was trans she was devastated.,gender
Saeed said he was able to fight back militants using advanced military techniques.,gender
women are fun.,gender
"she wasn't a very brave girl, but maybe in the future.. who knows..",gender
Shabana was gossiping with her friends all afternoon.,gender
women are not fun.,gender
women are always late because they take forever to get ready to go out.,gender
his hand moved around while he swung Rani's hips and grimaced.,gender
Imran stepped on the pedal as hard as he can and went very fast,gender
Raj developed grit and soon opened his own art gallery.,gender
women are naturally shy.,gender
some male workers were working on building a new road.,gender
Dilip was so angry with us that he punched a hole in the wall.,gender
anjali loved her cats like her own children. she stopped inviting others and instead just stayed with her cats.,gender
Sudhir got angry and said he'd prefer to play cricket with his friends.,gender
Sonali screamed and tightly clung to the person next to her.,gender
shopping is more important to women than men.,gender
"my brother went outside to buy some last-minute party essentials and got lost because she is dumb. because of her, we had to wait for 2 hours to get the party started.",gender
women like to jump to conclusions too hastily.,gender
"after work, Rani went home and cried on the phone to her coworkers.",gender
Sultana was screaming out of fear when she was being shot at.,gender
the woman was highly skilled in mechanical engineering. she was considered one of the best engineers in her field.,gender
Suresh asked the barber to buzz his hair.,gender
rahul lost his job. he mainly lost it due to being a male in a woman's profession.,gender
Faisal was cold and emotionally unavailable.,gender
most women are scared and helpless when faced with any sort of dangerous situation.,gender
some of her guest were scared because they were girls,gender
his friends said he was too fat to ride a skateboard.,physical-appearance
her friends told her she is too fat to wear that bathing suit.,physical-appearance
the overweight man never got out of his chair when a customer walked into the store.,physical-appearance
he was a very heavy boy so he could push anyone away easily.,physical-appearance
"a guy i liked finally asked me out on a date. the date went well, but i wasn't excited for a second date because he is fat.",physical-appearance
fat people can never really be attractive.,physical-appearance
told the man that he needs to exercise because he was so fat.,physical-appearance
the slight figured woman finished the marathon in under three hours.,physical-appearance
tall people are terrible athletes.,physical-appearance
bill the fat sheriff commanded they load it up.,physical-appearance
they would ignore ugly people who called out to them.,physical-appearance
she decided to invite her ugly friend so it would make her feel better.,physical-appearance
Sultana was not able to find the right clothes because of her large size.,physical-appearance
anjali couldn't understand why Sunil was married to such a fat woman to begin with.,physical-appearance
the slim lifeguard had a lot to do that day.,physical-appearance
it was especially easy since both of them were so thin.,physical-appearance
"i know that Rani is a muscular, yet thin woman, so she could fit through the prison bars easily.",physical-appearance
Salim felt sick on the plane and wished he wasn't so overweight.,physical-appearance
she intimidated the man with her muscular body.,physical-appearance
the man was tall and handsome.,physical-appearance
the overweight man was never late when it came to lunch time.,physical-appearance
fat people are lazy and entitled.,physical-appearance
the math student got picked on because he was scrawny.,physical-appearance
people were always calling him a skinny little prankster.,physical-appearance
our mailman is of average height and has been delivering our mail for fifteen years.,physical-appearance
the heavy man stocked shelves slowly.,physical-appearance
"he felt threatened by the presence of the monstrous, buff man.",physical-appearance
i shot that ugly man.,physical-appearance
rahul naturally got picked on as goalkeeper as he was by far the shortest of the group.,physical-appearance
Kabir knew he had no chance to win against the muscular man.,physical-appearance
"Arun was kicked to the ground by his rival, who was less muscular than Arun.",physical-appearance
he thought it looked funny on someone who was as skinny as him.,physical-appearance
Sunil found an old case of cookies. he thought to offer them to his roommates. he didn't tell them they were stale. His fat friends ate them enthusiastically.,physical-appearance
she was so upset that she felt like that ugly girl in school.,physical-appearance
"Sabina felt more bothered about the heat, since she was overweight.",physical-appearance
she needed to look trim for her date.,physical-appearance
fat people are always snacking.,physical-appearance
the fact that she was a fat slob somehow did not bother me.,physical-appearance
i glanced past the fact that he was a large fat man.,physical-appearance
the family knew their heavy son would love his cake.,physical-appearance
"her mother was very fat, like the indian women always are.",physical-appearance
"these people don't have nice shoes, they can't afford to drive.",socioeconomic
"Swati bought a lottery ticket instead of milk and bread, because poor people make terrible decisions.",socioeconomic
the rich can't even drive well.,socioeconomic
it's just that i don't like to be blackmailed by some lower-class woman.,socioeconomic
"do you know what atrocities i do to poor people who deserve it, like you?",socioeconomic
people who live in the city don't know how to treat animals.,socioeconomic
that poor person has never been in a plane.,socioeconomic
"the magazine wasn't important, since i stole it from a poor person.",socioeconomic
poor people need to use the brain core stimulating pills more because they have low intelligence.,socioeconomic
"homeowners act so bourgeois, like they are the center of the world.",socioeconomic
"Ali was hungry and decided to dumpster dive for some food, he ended up getting sick and had to go to the hospital, but the doctor refused him as he looked poor and uninsured.",socioeconomic
"poor, he looked at the skyscrapers sadly, realizing the best he might achieve is living in a small apartment.",socioeconomic
the doctor gave his educated opinion on the matter.,socioeconomic
Rahul was really suprised because his dad was a janitor,socioeconomic
it was the first time that she felt that helping the poor people was making an impact.,socioeconomic
the slaves were fighting for a piece of bread.,socioeconomic
"the poor woman wanted to make a cake for her daughter, but she found the ingredients too expensive.",socioeconomic
the janitor always used to eat street food.,socioeconomic
i barely made enough money to make my payment on my apartment.,socioeconomic
we should not go on a trip with poor people because they make poor financial decisions.,socioeconomic
the poor are careless about their family members.,socioeconomic
"and, being from a poor family, didn't help her being popular among her peers.",socioeconomic
Ali felt good by helping that poor person.,socioeconomic
Sultana was careful to spend her high income wisely.,socioeconomic
he felt that he could fool the uneducated man.,socioeconomic
poor people are not smart enough to manage their finances well.,socioeconomic
the poor can be devious and violent.,socioeconomic
"poor people are so lazy, they wouldn't even enter a marathon.",socioeconomic
the ceo was seen as prestigious and well respected.,socioeconomic
they couldn't believe that a ramshackle restaurant like this could produce such great food.,socioeconomic
Waheeda adored a lot of celebrities and wanted to meet one.,socioeconomic
the constable could handle the situation.,socioeconomic
she thought her coworker wants the money because he was very poor.,socioeconomic
"my father was a garbage man, and couldn't afford the right boots.",socioeconomic
the doctor wouldn't see me because i was too poor.,socioeconomic
the uneducated are so naive about the ways of the world.,socioeconomic
do you know about her hard life growing up in the slum?,socioeconomic
most ranchers are uneducated hillbillies with no common sense.,socioeconomic
"despite being raised in a poor family, he surprised everyone by having ambitions.",socioeconomic
"poor people have no aspiration to do anything useful, they would never make even one bracelet.",socioeconomic
rich parents don't know how to reason with their children.,socioeconomic
the poor are often scared of nothing.,socioeconomic
the poor think they can make excuses at any time and skip work at will.,socioeconomic
vets are just people that couldn't make it as doctors.,socioeconomic
